timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1480499940.38,0.615009,0.356474,2.647394,-8.219353,3.639302,0.540550,0.540694,-0.348972,-0.765421,0.963975,-1.795010,-0.656699,0.913798,-33.407566,12.255324,,,,,,
1480499940.39,0.620197,0.302864,2.701507,-6.229708,1.572380,1.121762,0.554743,-0.298255,-0.776726,2.446584,-2.540627,-1.698859,0.913798,-33.407566,12.255324,,,,,,
1480499940.40,0.600968,0.282082,2.737245,-2.386261,-1.716354,1.607260,0.543094,-0.278356,-0.792191,2.458234,-2.560526,-1.683395,0.913798,-33.407566,12.255324,,,,,,
1480499940.41,0.556075,0.299467,2.749537,1.727572,-4.449575,1.843433,0.504364,-0.295011,-0.811533,3.831955,-2.615786,-3.158163,-0.711051,-35.170605,5.442090,,,,,,
1480499940.42,0.503565,0.344017,2.746215,4.259320,-4.994328,1.835161,0.454277,-0.337271,-0.824549,4.775230,-2.299142,-5.456594,-0.711051,-35.170605,5.442090,,,,,,
1480499940.44,0.460796,0.399983,2.736979,5.138883,-4.029253,1.639926,0.409563,-0.389402,-0.824999,4.623610,-2.027590,-7.184370,-1.503962,-34.820168,7.237910,,,,,,
1480499940.45,0.433235,0.453827,2.726194,4.794935,-2.635466,1.238539,0.377314,-0.438408,-0.815740,3.753286,-1.734535,-7.247797,-1.503962,-34.820168,7.237910,,,,,,
1480499940.46,0.420669,0.499564,2.715518,4.094281,-1.332301,0.882245,0.358465,-0.479043,-0.801262,2.907404,-1.157035,-7.185859,-1.927885,-33.790699,11.025665,,,,,,
1480499940.47,0.418720,0.540203,2.704672,3.774290,-0.510571,0.713220,0.348694,-0.514310,-0.783516,1.987396,-0.871417,-5.548531,-1.927885,-33.790699,11.025665,,,,,,
1480499940.48,0.422728,0.579124,2.694005,3.621594,-0.054683,0.729777,0.343356,-0.547291,-0.763269,1.136045,-0.613353,-3.230216,-2.232106,-32.671497,13.952936,,,,,,
1480499940.49,0.429982,0.615522,2.686028,3.237167,0.372066,0.892385,0.340350,-0.577385,-0.742151,0.402203,-0.360878,-1.422171,-2.232106,-32.671497,13.952936,,,,,,
1480499940.50,0.439776,0.647275,2.682899,2.634673,0.867753,1.080196,0.339623,-0.603015,-0.721824,-0.016091,-0.142774,-0.195672,-2.786786,-31.491066,16.359707,,,,,,
